"day" "month" "year" "streamflow"
"91" 30 10 1989 0.035938
"92" 31 10 1989 0.033755
"93" 1 11 1989 0.031705
"94" 2 11 1989 0.029779
"95" 3 11 1989 0.027971
"96" 4 11 1989 0.026272
"97" 5 11 1989 0.024676
"98" 6 11 1989 0.023177
"99" 7 11 1989 0.02177
"100" 8 11 1989 0.020447
"101" 9 11 1989 0.019206
"102" 10 11 1989 0.018039
"103" 11 11 1989 0.016943
"104" 12 11 1989 0.015914
"105" 13 11 1989 0.014948
"106" 14 11 1989 0.01404
"107" 15 11 1989 0.013187
"108" 16 11 1989 0.012386
"109" 17 11 1989 0.011634
"110" 18 11 1989 0.010927
"111" 19 11 1989 0.010264
"112" 20 11 1989 0.00964
"113" 21 11 1989 0.009055
"114" 22 11 1989 0.008505
"115" 23 11 1989 0.007988
"116" 24 11 1989 0.007503
"117" 25 11 1989 0.007047
"118" 26 11 1989 0.007451
"119" 27 11 1989 0.025793
"120" 28 11 1989 0.024226
"121" 29 11 1989 0.022755
"122" 30 11 1989 0.021373
"123" 1 12 1989 0.020075
"124" 2 12 1989 0.018855
"125" 3 12 1989 0.01771
"126" 4 12 1989 0.016634
"127" 5 12 1989 0.015624
"128" 6 12 1989 0.014675
"129" 7 12 1989 0.013784
"130" 8 12 1989 0.012947
"131" 9 12 1989 0.01216
"132" 10 12 1989 0.011422
"133" 11 12 1989 0.010728
"134" 12 12 1989 0.010076
"135" 13 12 1989 0.009464
"136" 14 12 1989 0.00889
"137" 15 12 1989 0.00835
"138" 16 12 1989 0.007842
"139" 17 12 1989 0.007366
"140" 18 12 1989 0.006919
"141" 19 12 1989 0.006499
"142" 20 12 1989 0.006104
"143" 21 12 1989 0.005733
"144" 22 12 1989 0.005385
"145" 23 12 1989 0.005058
"146" 24 12 1989 0.004751
"147" 25 12 1989 0.004462
"148" 26 12 1989 0.004191
"149" 27 12 1989 0.003937
"150" 28 12 1989 0.003697
"151" 29 12 1989 0.003473
"152" 30 12 1989 0.003262
"153" 31 12 1989 0.003064
"154" 1 1 1990 0.002878
"155" 2 1 1990 0.002703
"156" 3 1 1990 0.002539
"157" 4 1 1990 0.002385
"158" 5 1 1990 0.00224
"159" 6 1 1990 0.002104
"160" 7 1 1990 0.001976
"161" 8 1 1990 0.001856
"162" 9 1 1990 0.001743
"163" 10 1 1990 0.001637
"164" 11 1 1990 0.001538
"165" 12 1 1990 0.001444
"166" 13 1 1990 0.099484
"167" 14 1 1990 0.146463
"168" 15 1 1990 0.182457
"169" 16 1 1990 0.182448
"170" 17 1 1990 0.175309
"171" 18 1 1990 0.164662
"172" 19 1 1990 0.154661
"173" 20 1 1990 0.145267
"174" 21 1 1990 0.136444
"175" 22 1 1990 0.128157
"176" 23 1 1990 0.120373
"177" 24 1 1990 0.113062
"178" 25 1 1990 0.106195
"179" 26 1 1990 0.099745
"180" 27 1 1990 0.093686
"181" 28 1 1990 0.087996
"182" 29 1 1990 0.082652
"183" 30 1 1990 0.077632
"184" 31 1 1990 0.072916
"185" 1 2 1990 0.068488
"186" 2 2 1990 0.064328
"187" 3 2 1990 0.060421
"188" 4 2 1990 0.056751
"189" 5 2 1990 0.089933
"190" 6 2 1990 0.084471
"191" 7 2 1990 0.07934
"192" 8 2 1990 0.074521
"193" 9 2 1990 0.069995
"194" 10 2 1990 0.065744
"195" 11 2 1990 0.061751
"196" 12 2 1990 0.058
"197" 13 2 1990 0.054477
"198" 14 2 1990 0.051169
"199" 15 2 1990 0.048061
"200" 16 2 1990 0.045142
"201" 17 2 1990 0.0424
"202" 18 2 1990 0.145975
"203" 19 2 1990 0.166291
"204" 20 2 1990 0.164911
"205" 21 2 1990 0.154895
"206" 22 2 1990 0.145487
"207" 23 2 1990 0.136651
"208" 24 2 1990 0.128351
"209" 25 2 1990 0.120555
"210" 26 2 1990 0.113233
"211" 27 2 1990 0.106356
"212" 28 2 1990 0.099896
"213" 1 3 1990 0.093828
"214" 2 3 1990 0.08813
"215" 3 3 1990 0.082777
"216" 4 3 1990 0.077749
"217" 5 3 1990 0.073027
"218" 6 3 1990 0.068591
"219" 7 3 1990 0.064425
"220" 8 3 1990 0.060512
"221" 9 3 1990 0.056837
"222" 10 3 1990 0.053385
"223" 11 3 1990 0.050142
"224" 12 3 1990 0.047097
"225" 13 3 1990 0.044236
"226" 14 3 1990 0.04155
"227" 15 3 1990 0.039026
"228" 16 3 1990 0.036656
"229" 17 3 1990 0.034429
"230" 18 3 1990 0.032338
"231" 19 3 1990 0.030374
"232" 20 3 1990 0.028529
"233" 21 3 1990 0.026796
"234" 22 3 1990 0.025169
"235" 23 3 1990 0.02364
"236" 24 3 1990 0.022204
"237" 25 3 1990 0.020856
"238" 26 3 1990 0.019589
"239" 27 3 1990 0.018399
"240" 28 3 1990 0.017282
"241" 29 3 1990 0.016232
"242" 30 3 1990 0.015246
"243" 31 3 1990 0.01432
"244" 1 4 1990 0.01345
"245" 2 4 1990 0.012633
"246" 3 4 1990 0.011866
"247" 4 4 1990 0.011145
"248" 5 4 1990 0.010468
"249" 6 4 1990 0.009833
"250" 7 4 1990 0.009235
"251" 8 4 1990 0.008675
"252" 9 4 1990 0.008148
"253" 10 4 1990 0.007653
"254" 11 4 1990 0.007188
"255" 12 4 1990 0.006751
"256" 13 4 1990 0.006341
"257" 14 4 1990 0.005956
"258" 15 4 1990 0.005594
"259" 16 4 1990 0.005255
"260" 17 4 1990 0.014036
"261" 18 4 1990 0.013184
"262" 19 4 1990 0.012383
"263" 20 4 1990 0.011631
"264" 21 4 1990 0.010925
"265" 22 4 1990 0.010261
"266" 23 4 1990 0.009638
"267" 24 4 1990 0.009052
"268" 25 4 1990 0.008503
"269" 26 4 1990 0.007986
"270" 27 4 1990 0.007501
"271" 28 4 1990 0.007046
"272" 29 4 1990 0.006618
"273" 30 4 1990 0.006216
"274" 1 5 1990 0.005838
"275" 2 5 1990 0.005484
"276" 3 5 1990 0.00515
"277" 4 5 1990 0.004838
"278" 5 5 1990 0.004544
"279" 6 5 1990 0.004268
"280" 7 5 1990 0.004009
"281" 8 5 1990 0.003765
"282" 9 5 1990 0.003536
"283" 10 5 1990 0.003322
"284" 11 5 1990 0.00312
"285" 12 5 1990 0.00293
"286" 13 5 1990 0.002752
"287" 14 5 1990 0.002585
"288" 15 5 1990 0.002428
"289" 16 5 1990 0.002281
"290" 17 5 1990 0.002142
"291" 18 5 1990 0.002012
"292" 19 5 1990 0.00189
"293" 20 5 1990 0.001775
"294" 21 5 1990 0.001667
"295" 22 5 1990 0.001566
"296" 23 5 1990 0.001471
"297" 24 5 1990 0.001382
"298" 25 5 1990 0.001298
"299" 26 5 1990 0.001219
"300" 27 5 1990 0.001145
"301" 28 5 1990 0.001075
"302" 29 5 1990 0.07952
"303" 30 5 1990 0.080778
"304" 31 5 1990 0.075872
"305" 1 6 1990 0.071263
"306" 2 6 1990 0.066935
"307" 3 6 1990 0.06287
"308" 4 6 1990 0.059051
"309" 5 6 1990 0.055465
"310" 6 6 1990 0.052096
"311" 7 6 1990 0.048932
"312" 8 6 1990 0.04596
"313" 9 6 1990 0.043168
"314" 10 6 1990 0.040546
"315" 11 6 1990 0.038084
"316" 12 6 1990 0.035771
"317" 13 6 1990 0.033598
"318" 14 6 1990 0.031557
"319" 15 6 1990 0.029641
"320" 16 6 1990 0.02784
"321" 17 6 1990 0.026149
"322" 18 6 1990 0.024561
"323" 19 6 1990 0.023069
"324" 20 6 1990 0.021668
"325" 21 6 1990 0.020352
"326" 22 6 1990 0.019116
"327" 23 6 1990 0.017955
"328" 24 6 1990 0.016864
"329" 25 6 1990 0.01584
"330" 26 6 1990 0.014878
"331" 27 6 1990 0.013974
"332" 28 6 1990 0.013126
"333" 29 6 1990 0.012328
"334" 30 6 1990 0.01158
"335" 1 7 1990 0.010876
"336" 2 7 1990 0.010216
"337" 3 7 1990 0.009595
"338" 4 7 1990 0.009012
"339" 5 7 1990 0.008465
"340" 6 7 1990 0.007951
"341" 7 7 1990 0.007468
"342" 8 7 1990 0.007014
"343" 9 7 1990 0.006588
"344" 10 7 1990 0.006188
"345" 11 7 1990 0.005812
"346" 12 7 1990 0.005459
"347" 13 7 1990 0.005128
"348" 14 7 1990 0.004816
"349" 15 7 1990 0.004524
"350" 16 7 1990 0.004249
"351" 17 7 1990 0.003991
"352" 18 7 1990 0.003749
"353" 19 7 1990 0.003521
"354" 20 7 1990 0.003307
"355" 21 7 1990 0.003106
"356" 22 7 1990 0.002918
"357" 23 7 1990 0.00274
"358" 24 7 1990 0.002574
"359" 25 7 1990 0.002418
"360" 26 7 1990 0.002271
"361" 27 7 1990 0.002133
"362" 28 7 1990 0.002003
"363" 29 7 1990 0.001882
"364" 30 7 1990 0.001767
"365" 31 7 1990 0.00166
"366" 1 8 1990 0.001559
"367" 2 8 1990 0.001464
"368" 3 8 1990 0.001375
"369" 4 8 1990 0.001292
"370" 5 8 1990 0.001213
"371" 6 8 1990 0.00114
"372" 7 8 1990 0.001071
"373" 8 8 1990 0.001006
"374" 9 8 1990 0.000944
"375" 10 8 1990 0.000887
"376" 11 8 1990 0.000833
"377" 12 8 1990 0.000783
"378" 13 8 1990 0.000735
"379" 14 8 1990 0.00069
"380" 15 8 1990 0.000648
"381" 16 8 1990 0.000609
"382" 17 8 1990 0.000572
"383" 18 8 1990 0.000537
"384" 19 8 1990 0.000505
"385" 20 8 1990 0.000474
"386" 21 8 1990 0.000445
"387" 22 8 1990 0.000418
"388" 23 8 1990 0.000393
"389" 24 8 1990 0.000369
"390" 25 8 1990 0.000347
"391" 26 8 1990 0.000326
"392" 27 8 1990 0.000306
"393" 28 8 1990 0.000287
"394" 29 8 1990 0.00027
"395" 30 8 1990 0.000253
"396" 31 8 1990 0.000238
"397" 1 9 1990 0.000224
"398" 2 9 1990 0.00021
"399" 3 9 1990 0.000197
"400" 4 9 1990 0.000185
"401" 5 9 1990 0.000174
"402" 6 9 1990 0.000163
"403" 7 9 1990 0.000153
"404" 8 9 1990 0.000144
"405" 9 9 1990 0.000135
"406" 10 9 1990 0.000127
"407" 11 9 1990 0.000119
"408" 12 9 1990 0.000112
"409" 13 9 1990 0.000105
"410" 14 9 1990 9.9e-05
"411" 15 9 1990 9.3e-05
"412" 16 9 1990 8.7e-05
"413" 17 9 1990 8.2e-05
"414" 18 9 1990 7.7e-05
"415" 19 9 1990 7.2e-05
"416" 20 9 1990 6.8e-05
"417" 21 9 1990 6.4e-05
"418" 22 9 1990 6e-05
"419" 23 9 1990 5.6e-05
"420" 24 9 1990 5.3e-05
"421" 25 9 1990 5e-05
"422" 26 9 1990 4.7e-05
"423" 27 9 1990 4.4e-05
"424" 28 9 1990 4.1e-05
"425" 29 9 1990 3.9e-05
"426" 30 9 1990 3.6e-05
"427" 1 10 1990 3.4e-05
"428" 2 10 1990 3.2e-05
"429" 3 10 1990 3e-05
"430" 4 10 1990 2.8e-05
"431" 5 10 1990 2.7e-05
"432" 6 10 1990 2.5e-05
"433" 7 10 1990 2.3e-05
"434" 8 10 1990 2.2e-05
"435" 9 10 1990 2.1e-05
"436" 10 10 1990 1.9e-05
"437" 11 10 1990 1.8e-05
"438" 12 10 1990 1.7e-05
"439" 13 10 1990 1.6e-05
"440" 14 10 1990 1.5e-05
"441" 15 10 1990 1.4e-05
"442" 16 10 1990 1.3e-05
"443" 17 10 1990 1.3e-05
"444" 18 10 1990 1.2e-05
"445" 19 10 1990 1.1e-05
"446" 20 10 1990 1e-05
"447" 21 10 1990 1e-05
"448" 22 10 1990 9e-06
"449" 23 10 1990 9e-06
"450" 24 10 1990 8e-06
"451" 25 10 1990 8e-06
"452" 26 10 1990 7e-06
"453" 27 10 1990 7e-06
"454" 28 10 1990 6e-06
"455" 29 10 1990 6e-06
"456" 30 10 1990 6e-06
"457" 31 10 1990 5e-06
"458" 1 11 1990 5e-06
"459" 2 11 1990 5e-06
"460" 3 11 1990 4e-06
"461" 4 11 1990 4e-06
"462" 5 11 1990 4e-06
"463" 6 11 1990 4e-06
"464" 7 11 1990 3e-06
"465" 8 11 1990 3e-06
"466" 9 11 1990 3e-06
"467" 10 11 1990 3e-06
"468" 11 11 1990 3e-06
"469" 12 11 1990 2e-06
"470" 13 11 1990 2e-06
"471" 14 11 1990 2e-06
"472" 15 11 1990 2e-06
"473" 16 11 1990 2e-06
"474" 17 11 1990 2e-06
"475" 18 11 1990 2e-06
"476" 19 11 1990 2e-06
"477" 20 11 1990 0.003866
"478" 21 11 1990 0.004372
"479" 22 11 1990 0.004106
"480" 23 11 1990 0.003857
"481" 24 11 1990 0.003622
"482" 25 11 1990 0.003402
"483" 26 11 1990 0.003196
"484" 27 11 1990 0.003002
"485" 28 11 1990 0.002819
"486" 29 11 1990 0.002648
"487" 30 11 1990 0.002487
"488" 1 12 1990 0.002336
"489" 2 12 1990 0.002194
"490" 3 12 1990 0.002061
"491" 4 12 1990 0.001936
"492" 5 12 1990 0.001818
"493" 6 12 1990 0.001708
"494" 7 12 1990 0.001604
"495" 8 12 1990 0.001507
"496" 9 12 1990 0.001415
"497" 10 12 1990 0.001329
"498" 11 12 1990 0.001248
"499" 12 12 1990 0.001173
"500" 13 12 1990 0.004795
"501" 14 12 1990 0.004504
"502" 15 12 1990 0.00423
"503" 16 12 1990 0.003973
"504" 17 12 1990 0.003732
"505" 18 12 1990 0.003505
"506" 19 12 1990 0.003292
"507" 20 12 1990 0.003092
"508" 21 12 1990 0.002905
"509" 22 12 1990 0.002728
"510" 23 12 1990 0.002562
"511" 24 12 1990 0.002407
"512" 25 12 1990 0.002261
"513" 26 12 1990 0.002123
"514" 27 12 1990 0.001994
"515" 28 12 1990 0.001873
"516" 29 12 1990 0.001759
"517" 30 12 1990 0.001653
"518" 31 12 1990 0.001552
"519" 1 1 1991 0.001458
"520" 2 1 1991 0.001369
"521" 3 1 1991 0.001286
"522" 4 1 1991 0.051712
"523" 5 1 1991 0.135258
"524" 6 1 1991 0.127042
"525" 7 1 1991 0.119326
"526" 8 1 1991 0.112079
"527" 9 1 1991 0.105271
"528" 10 1 1991 0.145215
"529" 11 1 1991 0.136395
"530" 12 1 1991 0.128111
"531" 13 1 1991 0.12033
"532" 14 1 1991 0.113021
"533" 15 1 1991 0.106157
"534" 16 1 1991 0.099709
"535" 17 1 1991 0.093653
"536" 18 1 1991 0.087965
"537" 19 1 1991 0.082622
"538" 20 1 1991 0.077604
"539" 21 1 1991 0.07289
"540" 22 1 1991 0.068463
"541" 23 1 1991 0.064305
"542" 24 1 1991 0.060399
"543" 25 1 1991 0.056731
"544" 26 1 1991 0.053285
"545" 27 1 1991 0.050049
"546" 28 1 1991 0.267624
"547" 29 1 1991 0.364842
"548" 30 1 1991 0.342682
"549" 31 1 1991 0.321869
"550" 1 2 1991 0.302319
"551" 2 2 1991 0.283957
"552" 3 2 1991 0.266711
"553" 4 2 1991 0.250511
"554" 5 2 1991 0.235296
"555" 6 2 1991 0.221005
"556" 7 2 1991 0.207582
"557" 8 2 1991 0.194974
"558" 9 2 1991 0.183132
"559" 10 2 1991 0.172009
"560" 11 2 1991 0.161561
"561" 12 2 1991 0.151749
"562" 13 2 1991 0.142532
"563" 14 2 1991 0.133875
"564" 15 2 1991 0.125744
"565" 16 2 1991 0.118106
"566" 17 2 1991 0.110933
"567" 18 2 1991 0.104195
"568" 19 2 1991 0.097867
"569" 20 2 1991 0.091922
"570" 21 2 1991 0.086339
"571" 22 2 1991 0.081095
"572" 23 2 1991 0.07617
"573" 24 2 1991 0.071544
"574" 25 2 1991 0.067198
"575" 26 2 1991 0.063117
"576" 27 2 1991 0.059283
"577" 28 2 1991 0.055683
"578" 1 3 1991 0.052301
"579" 2 3 1991 0.1493
"580" 3 3 1991 0.140232
"581" 4 3 1991 0.131715
"582" 5 3 1991 0.186037
"583" 6 3 1991 0.174737
"584" 7 3 1991 0.164124
"585" 8 3 1991 0.154156
"586" 9 3 1991 0.144793
"587" 10 3 1991 0.135998
"588" 11 3 1991 0.132907
"589" 12 3 1991 0.124834
"590" 13 3 1991 0.117252
"591" 14 3 1991 0.131767
"592" 15 3 1991 0.123763
"593" 16 3 1991 0.124174
"594" 17 3 1991 0.116632
"595" 18 3 1991 0.247944
"596" 19 3 1991 0.444053
"597" 20 3 1991 0.448293
"598" 21 3 1991 0.44882
"599" 22 3 1991 0.42156
"600" 23 3 1991 0.395956
"601" 24 3 1991 0.371906
"602" 25 3 1991 0.404813
"603" 26 3 1991 0.489817
"604" 27 3 1991 0.572854
"605" 28 3 1991 0.616799
"606" 29 3 1991 0.644679
"607" 30 3 1991 0.657214
"608" 31 3 1991 0.65551
"609" 1 4 1991 0.642605
"610" 2 4 1991 0.619623
"611" 3 4 1991 0.589381
"612" 4 4 1991 0.553584
"613" 5 4 1991 0.519961
"614" 6 4 1991 0.48838
"615" 7 4 1991 0.458717
"616" 8 4 1991 0.430856
"617" 9 4 1991 0.404687
"618" 10 4 1991 0.380108
"619" 11 4 1991 0.357021
"620" 12 4 1991 0.335336
"621" 13 4 1991 0.314969
"622" 14 4 1991 0.295839
"623" 15 4 1991 0.27787
"624" 16 4 1991 0.260993
"625" 17 4 1991 0.245141
"626" 18 4 1991 0.230252
"627" 19 4 1991 0.216267
"628" 20 4 1991 0.203132
"629" 21 4 1991 0.190794
"630" 22 4 1991 0.179206
"631" 23 4 1991 0.168321
"632" 24 4 1991 0.158098
"633" 25 4 1991 0.148496
"634" 26 4 1991 0.139476
"635" 27 4 1991 0.131005
"636" 28 4 1991 0.123048
"637" 29 4 1991 0.115575
"638" 30 4 1991 0.108555
"639" 1 5 1991 0.101962
"640" 2 5 1991 0.095769
"641" 3 5 1991 0.089952
"642" 4 5 1991 0.084489
"643" 5 5 1991 0.079357
"644" 6 5 1991 0.074537
"645" 7 5 1991 0.07001
"646" 8 5 1991 0.065758
"647" 9 5 1991 0.061764
"648" 10 5 1991 0.058012
"649" 11 5 1991 0.054489
"650" 12 5 1991 0.051179
"651" 13 5 1991 0.048071
"652" 14 5 1991 0.045151
"653" 15 5 1991 0.042409
"654" 16 5 1991 0.039833
"655" 17 5 1991 0.037414
"656" 18 5 1991 0.035141
"657" 19 5 1991 0.033007
"658" 20 5 1991 0.031002
"659" 21 5 1991 0.029119
"660" 22 5 1991 0.027351
"661" 23 5 1991 0.025689
"662" 24 5 1991 0.024129
"663" 25 5 1991 0.022664
"664" 26 5 1991 0.021287
"665" 27 5 1991 0.019994
"666" 28 5 1991 0.01878
"667" 29 5 1991 0.017639
"668" 30 5 1991 0.016568
"669" 31 5 1991 0.015561
"670" 1 6 1991 0.014616
"671" 2 6 1991 0.013729
"672" 3 6 1991 0.012895
"673" 4 6 1991 0.012112
"674" 5 6 1991 0.011376
"675" 6 6 1991 0.010685
"676" 7 6 1991 0.010036
"677" 8 6 1991 0.009426
"678" 9 6 1991 0.008854
"679" 10 6 1991 0.008316
"680" 11 6 1991 0.007811
"681" 12 6 1991 0.007337
"682" 13 6 1991 0.006891
"683" 14 6 1991 0.006472
"684" 15 6 1991 0.006079
"685" 16 6 1991 0.00571
"686" 17 6 1991 0.005363
"687" 18 6 1991 0.005038
"688" 19 6 1991 0.004732
"689" 20 6 1991 0.004444
"690" 21 6 1991 0.004174
"691" 22 6 1991 0.003921
"692" 23 6 1991 0.003683
"693" 24 6 1991 0.003459
"694" 25 6 1991 0.003249
"695" 26 6 1991 0.003052
"696" 27 6 1991 0.002866
"697" 28 6 1991 0.002692
"698" 29 6 1991 0.002529
"699" 30 6 1991 0.002375
"700" 1 7 1991 0.002231
"701" 2 7 1991 0.002095
"702" 3 7 1991 0.001968
"703" 4 7 1991 0.001848
"704" 5 7 1991 0.001736
"705" 6 7 1991 0.001631
"706" 7 7 1991 0.001532
"707" 8 7 1991 0.001439
"708" 9 7 1991 0.001351
"709" 10 7 1991 0.001269
"710" 11 7 1991 0.001192
"711" 12 7 1991 0.00112
"712" 13 7 1991 0.001052
"713" 14 7 1991 0.000988
"714" 15 7 1991 0.000928
"715" 16 7 1991 0.000871
"716" 17 7 1991 0.000819
"717" 18 7 1991 0.000769
"718" 19 7 1991 0.000722
"719" 20 7 1991 0.000678
"720" 21 7 1991 0.000637
"721" 22 7 1991 0.000598
"722" 23 7 1991 0.000562
"723" 24 7 1991 0.000528
"724" 25 7 1991 0.000496
"725" 26 7 1991 0.000466
"726" 27 7 1991 0.000437
"727" 28 7 1991 0.000411
"728" 29 7 1991 0.000386
"729" 30 7 1991 0.000362
"730" 31 7 1991 0.00034
"731" 1 8 1991 0.00032
"732" 2 8 1991 3e-04
"733" 3 8 1991 0.000282
"734" 4 8 1991 0.000265
"735" 5 8 1991 0.000249
"736" 6 8 1991 0.000234
"737" 7 8 1991 0.00022
"738" 8 8 1991 0.000206
"739" 9 8 1991 0.000194
"740" 10 8 1991 0.000182
"741" 11 8 1991 0.000171
"742" 12 8 1991 0.000161
"743" 13 8 1991 0.000151
"744" 14 8 1991 0.000142
"745" 15 8 1991 0.000133
"746" 16 8 1991 0.000125
"747" 17 8 1991 0.000117
"748" 18 8 1991 0.00011
"749" 19 8 1991 0.000104
"750" 20 8 1991 9.7e-05
"751" 21 8 1991 9.1e-05
"752" 22 8 1991 8.6e-05
"753" 23 8 1991 8.1e-05
"754" 24 8 1991 7.6e-05
"755" 25 8 1991 7.1e-05
"756" 26 8 1991 6.7e-05
"757" 27 8 1991 6.3e-05
"758" 28 8 1991 5.9e-05
"759" 29 8 1991 5.5e-05
"760" 30 8 1991 5.2e-05
"761" 31 8 1991 4.9e-05
"762" 1 9 1991 4.6e-05
"763" 2 9 1991 4.3e-05
"764" 3 9 1991 4e-05
"765" 4 9 1991 3.8e-05
"766" 5 9 1991 3.6e-05
"767" 6 9 1991 3.4e-05
"768" 7 9 1991 3.1e-05
"769" 8 9 1991 3e-05
"770" 9 9 1991 2.8e-05
"771" 10 9 1991 2.6e-05
"772" 11 9 1991 2.4e-05
"773" 12 9 1991 2.3e-05
"774" 13 9 1991 2.2e-05
"775" 14 9 1991 2e-05
"776" 15 9 1991 1.9e-05
"777" 16 9 1991 1.8e-05
"778" 17 9 1991 1.7e-05
"779" 18 9 1991 1.6e-05
"780" 19 9 1991 1.5e-05
"781" 20 9 1991 1.4e-05
"782" 21 9 1991 1.3e-05
"783" 22 9 1991 1.2e-05
"784" 23 9 1991 1.2e-05
"785" 24 9 1991 1.1e-05
"786" 25 9 1991 1e-05
"787" 26 9 1991 1e-05
"788" 27 9 1991 9e-06
"789" 28 9 1991 8e-06
"790" 29 9 1991 8e-06
"791" 30 9 1991 7e-06
